[2018-06-21 14:55:14] {"fd":14,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-06-22 16:27:31] {"fd":19,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-06-22 16:27:38] {"fd":20,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-07-25 02:08:40] {"fd":33,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"2220\",\"nickname\":\"\u6768\u96e8\u8fb0\uff08\u667a\u591a\u5ba2\uff09\u5c0f\u7a0b\u5e8f\u5f00\u53d1\"}"}
[2018-07-25 02:09:09] {"fd":34,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"2220\",\"nickname\":\"\u6768\u96e8\u8fb0\uff08\u667a\u591a\u5ba2\uff09\u5c0f\u7a0b\u5e8f\u5f00\u53d1\"}"}
[2018-07-27 16:48:20] {"fd":36,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-02 09:20:22] {"fd":39,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":7,\"uniacid\":4,\"uid\":\"3226\",\"nickname\":\"178xxxx6589\"}"}
[2018-08-02 09:20:33] {"fd":40,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"3226\",\"nickname\":\"178xxxx6589\"}"}
[2018-08-02 09:20:41] {"fd":41,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"3226\",\"nickname\":\"178xxxx6589\"}"}
[2018-08-03 00:19:56] {"fd":44,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":11,\"uniacid\":4,\"uid\":\"3243\",\"nickname\":\"\u7801\u5927\u54e5.\u7801\u4e0a\u63a8.\u9a6c\u4e0a\u706b\"}"}
[2018-08-03 11:32:04] {"fd":45,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":4,\"uid\":\"2905\",\"nickname\":\"\u4f20\u8bf4\"}"}
[2018-08-03 13:35:21] {"fd":47,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"console_32_manager_4\",\"nickname\":\"\u7ba1\u7406\u5458admin888\",\"at\":{}}"}
[2018-08-03 17:52:51] {"fd":51,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"console_32_manager_4\",\"nickname\":\"\u7ba1\u7406\u5458admin888\",\"at\":{}}"}
[2018-08-04 11:03:22] {"fd":54,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-04 11:03:27] {"fd":55,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-04 13:45:40] {"fd":59,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"console_32_manager_4\",\"nickname\":\"\u7ba1\u7406\u5458admin888\",\"at\":{}}"}
[2018-08-04 13:45:58] {"fd":61,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":4,\"uid\":\"console_32_manager_4\",\"nickname\":\"\u7ba1\u7406\u5458admin888\",\"at\":{}}"}
[2018-08-05 19:04:20] {"fd":69,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"console_1_founder_1\",\"nickname\":\"\u7ba1\u7406\u5458wanlong\",\"at\":{}}"}
[2018-08-05 19:05:17] {"fd":71,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"3\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
